Graph,Model,Ordering,Setting,Metric,Value
0,llama3.2,Degree,UO,E,2.0
1,llama3.2,Degree,UO,E,3.0
2,llama3.2,Degree,UO,E,3.0
3,llama3.2,Degree,UO,E,1.0
4,llama3.2,Degree,UO,E,3.0
5,llama3.2,Degree,UO,E,2.0
6,llama3.2,Degree,UO,E,2.0
7,llama3.2,Degree,UO,E,4.0
8,llama3.2,Degree,UO,E,1.0
9,llama3.2,Degree,UO,E,3.0
10,llama3.2,Degree,UO,E,3.0
11,llama3.2,Degree,UO,E,3.0
12,llama3.2,Degree,UO,E,2.0
13,llama3.2,Degree,UO,E,2.0
14,llama3.2,Degree,UO,E,3.0
15,llama3.2,Degree,UO,E,3.0
16,llama3.2,Degree,UO,E,3.0
17,llama3.2,Degree,UO,E,1.0
18,llama3.2,Degree,UO,E,4.0
19,llama3.2,Degree,UO,E,3.0
20,llama3.2,Degree,UO,E,3.0
21,llama3.2,Degree,UO,E,2.0
22,llama3.2,Degree,UO,E,2.0
23,llama3.2,Degree,UO,E,1.0
24,llama3.2,Degree,UO,E,2.0
0,llama3.2,Degree,UO,P,2.0
1,llama3.2,Degree,UO,P,7.0
2,llama3.2,Degree,UO,P,2.0
3,llama3.2,Degree,UO,P,2.0
4,llama3.2,Degree,UO,P,3.0
5,llama3.2,Degree,UO,P,2.0
6,llama3.2,Degree,UO,P,2.0
7,llama3.2,Degree,UO,P,2.0
8,llama3.2,Degree,UO,P,10.0
9,llama3.2,Degree,UO,P,5.0
10,llama3.2,Degree,UO,P,2.0
11,llama3.2,Degree,UO,P,2.0
12,llama3.2,Degree,UO,P,3.0
13,llama3.2,Degree,UO,P,2.0
14,llama3.2,Degree,UO,P,10.0
15,llama3.2,Degree,UO,P,2.0
16,llama3.2,Degree,UO,P,2.0
17,llama3.2,Degree,UO,P,24.0
18,llama3.2,Degree,UO,P,2.0
19,llama3.2,Degree,UO,P,2.0
20,llama3.2,Degree,UO,P,2.0
21,llama3.2,Degree,UO,P,2.0
22,llama3.2,Degree,UO,P,10.0
23,llama3.2,Degree,UO,P,2.0
24,llama3.2,Degree,UO,P,10.0
0,llama3.2,Degree,UO,A%,100.0
1,llama3.2,Degree,UO,A%,0.0
2,llama3.2,Degree,UO,A%,0.0
3,llama3.2,Degree,UO,A%,0.0
4,llama3.2,Degree,UO,A%,100.0
5,llama3.2,Degree,UO,A%,100.0
6,llama3.2,Degree,UO,A%,100.0
7,llama3.2,Degree,UO,A%,0.0
8,llama3.2,Degree,UO,A%,0.0
9,llama3.2,Degree,UO,A%,0.0
10,llama3.2,Degree,UO,A%,0.0
11,llama3.2,Degree,UO,A%,0.0
12,llama3.2,Degree,UO,A%,0.0
13,llama3.2,Degree,UO,A%,100.0
14,llama3.2,Degree,UO,A%,0.0
15,llama3.2,Degree,UO,A%,0.0
16,llama3.2,Degree,UO,A%,0.0
17,llama3.2,Degree,UO,A%,0.0
18,llama3.2,Degree,UO,A%,0.0
19,llama3.2,Degree,UO,A%,0.0
20,llama3.2,Degree,UO,A%,0.0
21,llama3.2,Degree,UO,A%,100.0
22,llama3.2,Degree,UO,A%,0.0
23,llama3.2,Degree,UO,A%,0.0
24,llama3.2,Degree,UO,A%,0.0
0,llama3.2,Degree,O,E,2.0
1,llama3.2,Degree,O,E,3.0
2,llama3.2,Degree,O,E,3.0
3,llama3.2,Degree,O,E,1.0
4,llama3.2,Degree,O,E,3.0
5,llama3.2,Degree,O,E,2.0
6,llama3.2,Degree,O,E,2.0
7,llama3.2,Degree,O,E,4.0
8,llama3.2,Degree,O,E,1.0
9,llama3.2,Degree,O,E,3.0
10,llama3.2,Degree,O,E,3.0
11,llama3.2,Degree,O,E,3.0
12,llama3.2,Degree,O,E,2.0
13,llama3.2,Degree,O,E,2.0
14,llama3.2,Degree,O,E,3.0
15,llama3.2,Degree,O,E,3.0
16,llama3.2,Degree,O,E,3.0
17,llama3.2,Degree,O,E,1.0
18,llama3.2,Degree,O,E,4.0
19,llama3.2,Degree,O,E,3.0
20,llama3.2,Degree,O,E,3.0
21,llama3.2,Degree,O,E,2.0
22,llama3.2,Degree,O,E,2.0
23,llama3.2,Degree,O,E,1.0
24,llama3.2,Degree,O,E,2.0
0,llama3.2,Degree,O,P,10.0
1,llama3.2,Degree,O,P,10.0
2,llama3.2,Degree,O,P,2.0
3,llama3.2,Degree,O,P,6.0
4,llama3.2,Degree,O,P,6.0
5,llama3.2,Degree,O,P,10.0
6,llama3.2,Degree,O,P,10.0
7,llama3.2,Degree,O,P,10.0
8,llama3.2,Degree,O,P,10.0
9,llama3.2,Degree,O,P,5.0
10,llama3.2,Degree,O,P,5.0
11,llama3.2,Degree,O,P,10.0
12,llama3.2,Degree,O,P,10.0
13,llama3.2,Degree,O,P,10.0
14,llama3.2,Degree,O,P,10.0
15,llama3.2,Degree,O,P,6.0
16,llama3.2,Degree,O,P,10.0
17,llama3.2,Degree,O,P,10.0
18,llama3.2,Degree,O,P,10.0
19,llama3.2,Degree,O,P,6.0
20,llama3.2,Degree,O,P,4.0
21,llama3.2,Degree,O,P,8.0
22,llama3.2,Degree,O,P,10.0
23,llama3.2,Degree,O,P,2.0
24,llama3.2,Degree,O,P,10.0
0,llama3.2,Degree,O,A%,0.0
1,llama3.2,Degree,O,A%,0.0
2,llama3.2,Degree,O,A%,0.0
3,llama3.2,Degree,O,A%,0.0
4,llama3.2,Degree,O,A%,0.0
5,llama3.2,Degree,O,A%,0.0
6,llama3.2,Degree,O,A%,0.0
7,llama3.2,Degree,O,A%,0.0
8,llama3.2,Degree,O,A%,0.0
9,llama3.2,Degree,O,A%,0.0
10,llama3.2,Degree,O,A%,0.0
11,llama3.2,Degree,O,A%,0.0
12,llama3.2,Degree,O,A%,0.0
13,llama3.2,Degree,O,A%,0.0
